"","Totale stemmen","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"Dronten",25008,0.258997120921305,0.180542226487524,0.118242162507997,0.089691298784389,0.0740163147792706,0.0646593090211132,0.041746641074856,0.0701375559820857,0.0317098528470889,0.0227527191298784,0.0153150991682662,0.0209133077415227,0.0112763915547025
"Druten",11780,0.256706281833616,0.129456706281834,0.142105263157895,0.122410865874363,0.132852292020374,0.0659592529711375,0.0494057724957555,0.00585738539898132,0.0377758913412564,0.0211375212224109,0.00169779286926995,0.0169779286926995,0.0176570458404075
"Duiven",16399,0.257271784864931,0.142996524178304,0.130007927312641,0.125190560400024,0.107933410573815,0.0791511677541313,0.0523812427587048,0.0154277699859748,0.0392097079090188,0.0262820903713641,0.00219525580828099,0.018476736386365,0.00347582169644491
"Echt-Susteren",20115,0.162167536664181,0.198558289833458,0.229828486204325,0.0875466070096943,0.128262490678598,0.0528958488690032,0.0327616206810838,0.00531941337310465,0.051404424558787,0.029878200347999,0.00109371116082525,0.017946805866269,0.00233656475267214
"Edam-Volendam",23662,0.233158651001606,0.22191699771786,0.220268785394303,0.0700278928239371,0.0365987659538501,0.0515172005747612,0.0378243597329051,0.0066351111486772,0.0286535373172175,0.0262868734680078,0.0019017834502578,0.0621249260417547,0.00308511537486265
"Ede",71551,0.190269877430085,0.149348017498008,0.104121535687831,0.0919763525317606,0.0499084569048651,0.0640801665944571,0.0381546030104401,0.102695979091837,0.0219843188774441,0.0225014325446185,0.128174309233973,0.0153736495646462,0.0214113010300345
"Eemnes",5986,0.318409622452389,0.1343133979285,0.106916137654527,0.133645172068159,0.0574674239893084,0.0624791179418644,0.057133311059138,0.0283995990644838,0.0309054460407618,0.0345806882726361,0.00935516204477113,0.0250584697627798,0.00133645172068159
"Eemsmond",10111,0.124517851844526,0.171199683513006,0.111166056769855,0.072989813074869,0.164869943625754,0.0754623677183266,0.0949460983087726,0.100682425081594,0.0269013945208189,0.0312530906933043,0.0138463060033627,0.0120660666600732,9.89021857383048e-05
"Eersel",11986,0.278908726847989,0.204738862005673,0.109294176539296,0.112130819289171,0.11988987151677,0.0551476722843317,0.0378775237777407,0.00734189888202903,0.0358751877190055,0.022192557984315,0.00191890538962122,0.0142666444184882,0.000417153345569831
"Eijsden-Margraten",16700,0.204431137724551,0.209041916167665,0.143293413173653,0.120958083832335,0.0967065868263473,0.0704191616766467,0.0491017964071856,0.00622754491017964,0.0452694610778443,0.0288622754491018,0.00101796407185629,0.0245508982035928,0.000119760479041916
