"Muni","GL","Urban_index","High_edu_perc","Mean_income","Non_west"
"Reusel-De Mierden",0.0451345235101836,0.707751937984496,0.31,25.9,1
"Rheden",0.101890009947421,2.16911090742438,0.3,25.2,2
"Rhenen",0.0610196708149338,1.0877103518613,0.28,26.3,2
"Ridderkerk",0.0552117377094778,2.54767672318872,0.24,25.3,3
"Rijnwaarden",0.0554234769687964,0.351749539594843,0.14,23,1
"Rijssen-Holten",0.0277688085243784,1.71782047907344,0.2,24.7,2
"Roerdalen",0.0533062372987338,0.276195074843071,0.24,25.2,1
"Roermond",0.07995439980281,2.0993031358885,0.29,23.6,3
"Roosendaal",0.0908023309920011,2.4452507451082,0.24,24.7,3
"Rotterdam",0.119128505783553,3.5464901914441,0.31,22.9,3
"Rucphen",0.0331853576886689,0.909131602506714,0.21,24.7,1
"Schagen",0.0821459923019785,0.988744588744589,0.26,25.6,1
"Scherpenzeel",0.0254346426271732,1.31855670103093,0.28,25.6,1
"Schiedam",0.0835212804656239,3.63596660244059,0.19,23.1,3
"Schinnen",0.0683711244794077,0.493827160493827,0.34,26,1
"Schouwen-Duiveland",0.0519606545807419,0.552561445069588,0.22,26.2,1
"Simpelveld",0.0579162256162105,0.830812854442344,0.22,24.1,1
"Sint-Michielsgestel",0.0722964763061968,0.758656873032529,0.3,28.1,1
"Sint Anthonis",0.0473222236356698,0.191544434857636,0.18,26.3,1
"Sittard-Geleen",0.0799608583211016,2.04789456766313,0.25,23.8,2
"Sliedrecht",0.0434782608695652,2.42303078768493,0.21,24.6,2
"Slochteren",0.0829356241382967,0.00271370420624152,0.27,25,1
"Sluis",0.0549385458314823,0.430684699915469,0.28,24.9,1
"Smallingerland",0.0802522212668386,1.83174717184414,0.25,23,2
"Soest",0.0795013284283671,2.19703574542284,0.35,28.6,3
"Someren",0.0434167844963819,0.892857142857143,0.2,25.2,1
"Son en Breugel",0.0713677236157123,0.838244137101624,0.35,29.7,1
"Stadskanaal",0.0513485477178423,1.06292622442653,0.17,21.5,1
"Staphorst",0.019757688723206,0.386458957459557,0.18,24.5,1
"Stede Broec",0.0669856459330144,1.84508348794063,0.19,24.6,2
"Steenbergen",0.0478182071657605,0.954943679599499,0.22,24.8,1
"Steenwijkerland",0.0580951361381722,0.740450989415555,0.22,23.6,1
"Stichtse Vecht",0.0797897053429515,1.75034910783553,0.34,29.4,2
"Strijen",0.050186503899627,0.718678815489749,0.22,27.2,1
"Ten Boer",0.109814544696812,0.528120713305898,0.27,24.7,1
"Terneuzen",0.0577962303940952,1.11998534530134,0.2,24.5,2
"Terschelling",0.0917808219178082,0,0.23,25.9,1
"Texel",0.102221769262128,0.782865583456425,0.28,24.3,1
"Teylingen",0.0767021094151946,2.30387811634349,0.33,29.8,2
"Tholen",0.0309583858764187,0.556991774383079,0.16,24,1
"Tiel",0.0828110637586697,2.07542168674699,0.21,24.3,3
"Tilburg",0.121560713084427,3.06618025349609,0.31,23.4,3
"Tubbergen",0.0273351849144862,0.210302457466919,0.23,25.5,1
"Twenterand",0.0282480456572826,0.663220088626292,0.2,22.9,1
"Tynaarlo",0.11241800497625,0.557692307692308,0.35,27.7,1
"Tytsjerksteradiel",0.0744644512760455,0.468710888610763,0.25,23.9,1
"Uden",0.0642137333020858,1.93064282261962,0.28,25.5,2
"Uitgeest",0.0925925925925926,1.72383073496659,0.26,27.8,2
"Uithoorn",0.0767806027950833,2.18287671232877,0.32,27.5,3
"Urk",0.00248415281822854,1.70425321463897,0.17,24,1
"Utrecht (gemeente)",0.205526205286954,3.47880713619403,0.53,26.3,3
"Utrechtse Heuvelrug",0.0967722026785163,1.11521207177814,0.39,30.2,2
"Vaals",0.0677856681730148,1.46138002059732,0.21,22.2,2
"Valkenburg aan de Geul",0.069197239375227,0.711070559610706,0.26,25.3,1
"Valkenswaard",0.062487268282746,2.10583224115334,0.21,25.3,1
"Veendam",0.0703203946977352,1.47947693425354,0.22,22.2,2
"Veenendaal",0.0519152974079808,2.95224019912881,0.28,24.8,3
"Veere",0.0541424661192336,0.250684931506849,0.22,26.7,1
"Veldhoven",0.0688897691670568,2.48960429242119,0.34,27,2
"Velsen",0.0809274780905987,2.74977817213842,0.25,25.8,2
"Venlo",0.0723945485400374,2.31661224893638,0.23,23.3,3
"Venray",0.0606513409961686,1.41299357208448,0.25,24.7,2
"Vianen",0.0706226154720351,1.2895537525355,0.27,26.5,3
"Vlaardingen",0.0735767737046509,3.57083333333333,0.22,23.6,3
"Vlagtwedde",0.0566968781470292,0.296040226272784,0.22,22,1
"Vlissingen",0.0835520388577696,2.79554154469714,0.19,23.1,3
"Voerendaal",0.0632115749525617,0.498797113071371,0.33,26.8,1
"Voorschoten",0.0932948190031344,2.65191623864085,0.37,30.9,2
"Voorst",0.0601907408577023,0.716646014043784,0.27,26.3,1
"Vught",0.0936320613430779,1.93582887700535,0.4,29.9,1
"Waalre",0.0746661822145517,1.05443786982249,0.36,31.3,2
"Waalwijk",0.0597806862398302,1.82071292976165,0.24,24.9,2
