"Muni","CDA","GL","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Roosendaal",0.127296093594204,0.0908023309920011,2.4452507451082,0.24,24.7,0.14,"3"
"Rotterdam",0.0596197116146411,0.119128505783553,3.5464901914441,0.31,22.9,0.38,"3"
"Rucphen",0.114620478858889,0.0331853576886689,0.909131602506714,0.21,24.7,0.03,"1"
"Schagen",0.11969072861098,0.0821459923019785,0.988744588744589,0.26,25.6,0.04,"1"
"Scherpenzeel",0.170476497102382,0.0254346426271732,1.31855670103093,0.28,25.6,0.03,"1"
"Schiedam",0.0793985691766703,0.0835212804656239,3.63596660244059,0.19,23.1,0.29,"3"
"Schinnen",0.182322998611754,0.0683711244794077,0.493827160493827,0.34,26,0.03,"1"
"Schouwen-Duiveland",0.134665431608663,0.0519606545807419,0.552561445069588,0.22,26.2,0.03,"1"
"Simpelveld",0.174504763344927,0.0579162256162105,0.830812854442344,0.22,24.1,0.02,"1"
"Sint-Michielsgestel",0.155804705622446,0.0722964763061968,0.758656873032529,0.3,28.1,0.03,"1"
"Sint Anthonis",0.263325276682356,0.0473222236356698,0.191544434857636,0.18,26.3,0.02,"1"
"Sittard-Geleen",0.15043335430209,0.0799608583211016,2.04789456766313,0.25,23.8,0.07,"2"
"Sliedrecht",0.131292472125091,0.0434782608695652,2.42303078768493,0.21,24.6,0.09,"2"
"Slochteren",0.132569731678863,0.0829356241382967,0.00271370420624152,0.27,25,0.02,"1"
"Sluis",0.139271434917814,0.0549385458314823,0.430684699915469,0.28,24.9,0.03,"1"
"Smallingerland",0.173344797936371,0.0802522212668386,1.83174717184414,0.25,23,0.05,"2"
"Soest",0.116288575516043,0.0795013284283671,2.19703574542284,0.35,28.6,0.12,"3"
"Someren",0.195375530233719,0.0434167844963819,0.892857142857143,0.2,25.2,0.02,"1"
