"Muni","CDA_frac","Urban_index","High_educated_frac","Mean_income","Non_west_frac","CDA_abs","Total_abs","Non_west"
"Reusel-De Mierden",0.202,0.708,0.31,25.9,0.02,1606,7954,"1"
"Rheden",0.11,2.169,0.3,25.2,0.07,3091,28148,"2"
"Rhenen",0.126,1.088,0.28,26.3,0.05,1573,12455,"2"
"Ridderkerk",0.12,2.548,0.24,25.3,0.1,3460,28762,"3"
"Rijnwaarden",0.142,0.352,0.14,23,0.03,958,6730,"1"
"Rijssen-Holten",0.204,1.718,0.2,24.7,0.05,5043,24776,"2"
"Roerdalen",0.167,0.276,0.24,25.2,0.03,2135,12794,"1"
"Roermond",0.12,2.099,0.29,23.6,0.14,3907,32456,"3"
"Roosendaal",0.127,2.445,0.24,24.7,0.14,5745,45131,"3"
"Rotterdam",0.06,3.546,0.31,22.9,0.38,18813,315550,"3"
"Rucphen",0.115,0.909,0.21,24.7,0.03,1575,13741,"1"
"Schagen",0.12,0.989,0.26,25.6,0.04,3545,29618,"1"
"Scherpenzeel",0.17,1.319,0.28,25.6,0.03,1059,6212,"1"
"Schiedam",0.079,3.636,0.19,23.1,0.29,3274,41235,"3"
"Schinnen",0.182,0.494,0.34,26,0.03,1576,8644,"1"
"Schouwen-Duiveland",0.135,0.553,0.22,26.2,0.03,3053,22671,"1"
"Simpelveld",0.175,0.831,0.22,24.1,0.02,1154,6613,"1"
"Sint-Michielsgestel",0.156,0.759,0.3,28.1,0.03,2821,18106,"1"
"Sint Anthonis",0.263,0.192,0.18,26.3,0.02,2070,7861,"1"
"Sittard-Geleen",0.15,2.048,0.25,23.8,0.07,8609,57228,"2"
"Sliedrecht",0.131,2.423,0.21,24.6,0.09,1990,15157,"2"
"Slochteren",0.133,0.003,0.27,25,0.02,1250,9429,"1"
"Sluis",0.139,0.431,0.28,24.9,0.03,1881,13506,"1"
"Smallingerland",0.173,1.832,0.25,23,0.05,6048,34890,"2"
"Soest",0.116,2.197,0.35,28.6,0.12,3414,29358,"3"
"Someren",0.195,0.893,0.2,25.2,0.02,2349,12023,"1"
"Son en Breugel",0.161,0.838,0.35,29.7,0.04,1702,10565,"1"
"Stadskanaal",0.172,1.063,0.17,21.5,0.03,3318,19280,"1"
"Staphorst",0.176,0.386,0.18,24.5,0.02,1893,10730,"1"
"Stede Broec",0.139,1.845,0.19,24.6,0.05,1829,13167,"2"
"Steenbergen",0.128,0.955,0.22,24.8,0.03,1830,14346,"1"
"Steenwijkerland",0.194,0.74,0.22,23.6,0.04,5441,28023,"1"
"Stichtse Vecht",0.117,1.75,0.34,29.4,0.09,4789,40895,"2"
"Strijen",0.148,0.719,0.22,27.2,0.03,874,5898,"1"
"Ten Boer",0.178,0.528,0.27,24.7,0.03,852,4799,"1"
"Terneuzen",0.14,1.12,0.2,24.5,0.07,4244,30348,"2"
"Terschelling",0.116,0,0.23,25.9,0.02,423,3650,"1"
"Texel",0.134,0.783,0.28,24.3,0.03,1310,9812,"1"
"Teylingen",0.138,2.304,0.33,29.8,0.06,3218,23324,"2"
"Tholen",0.12,0.557,0.16,24,0.03,1902,15860,"1"
"Tiel",0.097,2.075,0.21,24.3,0.16,2319,23934,"3"
"Tilburg",0.094,3.066,0.31,23.4,0.16,11174,118920,"3"
"Tubbergen",0.42,0.21,0.23,25.5,0.01,5749,13682,"1"
"Twenterand",0.297,0.663,0.2,22.9,0.02,6200,20851,"1"
"Tynaarlo",0.114,0.558,0.35,27.7,0.03,2509,22105,"1"
"Tytsjerksteradiel",0.249,0.469,0.25,23.9,0.03,5099,20493,"1"
"Uden",0.157,1.931,0.28,25.5,0.08,4026,25602,"2"
"Uitgeest",0.111,1.724,0.26,27.8,0.05,980,8802,"2"
"Uithoorn",0.102,2.183,0.32,27.5,0.12,1822,17817,"3"
"Urk",0.144,1.704,0.17,24,0.02,1680,11674,"1"
"Utrechtse Heuvelrug",0.124,1.115,0.39,30.2,0.07,4025,32406,"2"
"Vaals",0.153,1.461,0.21,22.2,0.05,711,4647,"2"
