"","Zeer.sterk.stedelijk","Sterk.stedelijk","Matig.stedelijk","Weinig.stedelijk","Niet.stedelijk","stedelijkheidsindex"
"Oudewater",0,0,4490,3440,2270,1.21764705882353
"Overbetuwe",0,5310,8310,21320,12450,1.13673770837729
"Papendrecht",4480,18350,5970,3460,20,2.73760842627014
"Peel en Maas",0,0,5820,20220,17310,0.734948096885813
"Pekela",0,0,0,6070,6450,0.48482428115016
"Pijnacker-Nootdorp",0,30440,14950,5640,1630,2.40903911887581
"Purmerend",27520,41300,9650,1370,90,3.18591267358939
"Putten",0,3130,8860,5630,6810,1.34015554645927
"Raalte",0,1130,7940,11360,16480,0.829856407477648
"Reimerswaal",0,0,1370,11490,9500,0.636404293381038
"Renkum",0,0,13490,13680,4230,1.29490445859873
"Renswoude",0,0,0,3040,2070,0.594911937377691
"Reusel-De Mierden",0,0,1480,6170,5250,0.707751937984496
"Rheden",3850,15570,12780,6990,4450,2.16911090742438
"Rhenen",0,0,8160,5010,6440,1.0877103518613
"Ridderkerk",2380,26980,11950,1330,2770,2.54767672318872
"Rijnwaarden",0,0,0,3820,7040,0.351749539594843
"Rijssen-Holten",0,11850,8520,12670,4950,1.71782047907344
"Rijswijk",40280,7620,800,2310,20,3.6819517930629
"Roerdalen",0,0,0,5720,14990,0.276195074843071
"Roermond",8720,15880,10080,17820,4900,2.0993031358885
"De Ronde Venen",0,6740,8270,19770,7990,1.32172083235913
"Roosendaal",12850,32980,14020,10320,7000,2.4452507451082
"Rotterdam",443370,122620,45680,18080,4900,3.5464901914441
"Rozendaal",0,40,600,560,300,1.25333333333333
"Rucphen",0,0,5010,10290,7040,0.909131602506714
"Schagen",0,8080,5910,9620,22590,0.988744588744589
"Scherpenzeel",0,0,3670,5450,580,1.31855670103093
"Schiedam",55010,17810,4660,270,100,3.63596660244059
"Schiermonnikoog",0,0,0,0,940,0
"Schinnen",0,150,260,5430,7120,0.493827160493827
"Schouwen-Duiveland",0,0,5700,7260,20810,0.552561445069588
"Simpelveld",0,0,0,8790,1790,0.830812854442344
"Sint Anthonis",0,0,0,2220,9370,0.191544434857636
"Sint-Michielsgestel",0,0,1500,18690,8400,0.758656873032529
"Sittard-Geleen",5020,34860,22080,22310,9060,2.04789456766313
"Sliedrecht",1560,12710,5660,4910,170,2.42303078768493
"Slochteren",0,0,0,40,14700,0.00271370420624152
"Sluis",0,0,0,10190,13470,0.430684699915469
"Smallingerland",2550,19330,12550,8720,12540,1.83174717184414
"Soest",630,20830,13760,8270,2390,2.19703574542284
"Someren",0,0,6050,4900,8090,0.892857142857143
"Son en Breugel",0,0,0,13940,2690,0.838244137101624
"Stadskanaal",0,3760,6460,10090,11950,1.06292622442653
"Staphorst",0,0,60,6330,10300,0.386458957459557
"Stede Broec",0,3300,11980,5920,360,1.84508348794063
"Steenbergen",0,0,6640,9610,7720,0.954943679599499
"Steenwijkerland",0,2590,7240,9930,23700,0.740450989415555
"Stein",0,0,12560,8020,4490,1.32189868368568
"Stichtse Vecht",0,23260,16200,10630,14360,1.75034910783553
"Strijen",0,0,0,6310,2470,0.718678815489749
"Súdwest-Fryslân",1010,13870,15100,16330,37860,1.0951645479387
"Terneuzen",0,6600,14650,12040,21300,1.11998534530134
"Terschelling",0,0,0,0,4860,0
"Texel",0,0,4000,2600,6940,0.782865583456425
"Teylingen",0,19390,9950,5100,1660,2.30387811634349
"Tholen",0,0,1320,11580,12630,0.556991774383079
"Tiel",0,16380,14160,8670,2290,2.07542168674699
"Tilburg",103820,51020,31970,23300,3700,3.06618025349609
"Tubbergen",0,0,0,4450,16710,0.210302457466919
"Twenterand",0,0,2020,18410,13420,0.663220088626292
"Tynaarlo",0,0,4460,9640,19180,0.557692307692308
"Tytsjerksteradiel",0,0,2590,9800,19570,0.468710888610763
"Uden",840,16990,9220,7120,7210,1.93064282261962
"Uitgeest",0,0,10020,3180,270,1.72383073496659
"Uithoorn",0,13780,8300,5800,1320,2.18287671232877
"Urk",0,0,14430,5600,190,1.70425321463897
"Utrecht",221540,80210,28180,10220,2890,3.47880713619403
"Utrechtse Heuvelrug",0,4610,7360,26140,10930,1.11521207177814
"Vaals",0,1040,5040,990,2640,1.46138002059732
"Valkenburg aan de Geul",0,0,3980,3730,8730,0.711070559610706
"Valkenswaard",0,11770,12100,4760,1890,2.10583224115334
"Veendam",0,2890,12270,7520,4850,1.47947693425354
"Veenendaal",21670,25170,10630,6320,490,2.95224019912881
"Veere",0,0,0,5490,16410,0.250684931506849
"Veldhoven",2180,25190,11870,3330,2160,2.48960429242119
"Velsen",14530,31960,12300,7340,1490,2.74977817213842
"Venlo",15580,40190,16530,18190,10580,2.31661224893638
"Venray",0,11480,11160,4790,16130,1.41299357208448
"Vianen",0,0,9480,6470,3770,1.2895537525355
"Vlaardingen",46160,21470,3770,510,90,3.57083333333333
"Vlagtwedde",0,0,0,4710,11200,0.296040226272784
"Vlieland",0,0,0,0,1090,0
"Vlissingen",8390,22180,10830,2390,620,2.79554154469714
"Voerendaal",0,0,0,6220,6250,0.498797113071371
"Voorschoten",1470,15080,7500,1000,260,2.65191623864085
"Voorst",0,0,6230,4890,13090,0.716646014043784
"Vught",0,8290,10550,4710,2630,1.93582887700535
"Waalre",0,0,2850,12120,1930,1.05443786982249
"Waalwijk",0,16520,11050,14660,5180,1.82071292976165
"Waddinxveen",0,14400,6160,4940,1040,2.27807083647325
"Wageningen",10890,14860,6280,3770,2660,2.71632865314613
"Wassenaar",1260,12470,4720,2160,5440,2.07485604606526
"Waterland",0,0,5790,3610,7890,0.878542510121457
"Weert",1180,14690,14260,11840,7610,1.79810407422348
"Weesp",0,14080,1910,1970,780,2.56296691568837
"Werkendam",0,0,5340,9320,12190,0.74487895716946
"West Maas en Waal",0,0,0,5500,13330,0.292087095061073
"Westerveld",0,0,0,0,19080,0
"Westervoort",0,1350,10130,3390,120,1.84789859906604
"Westland",5840,43210,23430,24000,9140,2.11939026699489
"Weststellingwerf",0,960,7050,4290,13320,0.830210772833724
"Westvoorne",0,0,0,10440,3820,0.732117812061711
"Wierden",0,0,4630,13590,6010,0.943045810978126
"Wijchen",0,13420,10510,9290,7660,1.72627201565558
"Wijdemeren",0,10,3090,10980,9370,0.733049040511727
"Wijk bij Duurstede",0,5470,10060,1950,6020,1.63744680851064
"Winsum",0,0,0,6050,7550,0.444852941176471
"Winterswijk",0,9830,8850,4120,6120,1.77420470262794
"Woensdrecht",0,0,4640,12270,4930,0.986721611721612
"Woerden",1760,16780,12200,12980,7790,1.83964278780819
"De Wolden",0,0,0,4120,19630,0.173473684210526
"Wormerland",0,9010,1980,1040,3790,2.02465233881163
"Woudenberg",0,0,5600,5650,1440,1.32781717888101
"Woudrichem",0,0,0,3280,11260,0.225584594222834
"Zaanstad",35610,70560,25670,14100,7740,2.73008849557522
"Zaltbommel",0,1500,6960,3470,15800,0.789397764154345
"Zandvoort",3820,8560,1350,1680,1480,2.68442865600947
"Zederik",0,0,0,740,13110,0.0534296028880866
"Zeewolde",0,0,10080,9010,3370,1.29875333926981
"Zeist",7510,29160,11110,8660,6400,2.36155315085933
"Zevenaar",1420,11520,6370,3720,9350,1.75108091414453
"Zoetermeer",54320,55870,11040,3340,200,3.2885308968502
"Zoeterwoude",0,900,90,5950,1430,1.05495818399044
"Zuidhorn",0,0,0,6730,12130,0.356839872746554
"Zuidplas",0,13500,12060,11480,4430,1.8350614902339
"Zundert",0,0,1280,10490,9890,0.602493074792244
"Zutphen",4330,17240,16310,6910,2550,2.29340937896071
"Zwartewaterland",0,0,1480,17210,3620,0.904078888390856
"Zwijndrecht",15330,19130,4240,5060,660,2.9772624943719
"Zwolle",31470,50760,24050,14100,5170,2.71095181202708
