"Muni","CDA_frac","GL_frac","Urban_index","High_educated_frac","Mean_income","CDA_abs","GL_abs","Total_abs"
"Vlaardingen",0.099,0.074,3.571,0.22,23.6,4181,3107,42228
"Vlagtwedde",0.16,0.057,0.296,0.22,22,1591,563,9930
"Vlieland",0.08,0.11,0,NA,24.8,68,94,854
"Vlissingen",0.106,0.084,2.796,0.19,23.1,2696,2133,25529
"Voerendaal",0.175,0.063,0.499,0.33,26.8,1473,533,8432
"Voorschoten",0.116,0.093,2.652,0.37,30.9,1889,1518,16271
"Voorst",0.187,0.06,0.717,0.27,26.3,2960,953,15833
"Vught",0.112,0.094,1.936,0.4,29.9,1862,1563,16693
"Waalre",0.137,0.075,1.054,0.36,31.3,1503,822,11009
"Waalwijk",0.133,0.06,1.821,0.24,24.9,3750,1690,28270
"Waddinxveen",0.136,0.058,2.278,0.27,26.7,2319,979,17013
"Wageningen",0.079,0.204,2.716,0.45,25.3,1853,4760,23338
"Wassenaar",0.123,0.049,2.075,0.39,39.3,1843,742,15014
"Waterland",0.143,0.096,0.879,0.28,29.6,1689,1136,11794
"Weert",0.148,0.058,1.798,0.24,24.8,4493,1765,30307
"Weesp",0.097,0.122,2.563,0.34,26.9,1119,1407,11539
"Werkendam",0.185,0.037,0.745,0.18,26.5,3116,615,16820
"West Maas en Waal",0.152,0.054,0.292,0.25,25.6,1893,671,12437
"Westerveld",0.137,0.085,0,0.24,25.6,1775,1093,12934
"Westervoort",0.126,0.084,1.848,0.23,24.3,1202,803,9546
"Westland",0.189,0.04,2.119,0.24,26.3,12452,2624,66031
"Weststellingwerf",0.164,0.077,0.83,0.15,23,2668,1247,16249
"Westvoorne",0.114,0.04,0.732,0.26,31.8,1099,389,9608
"Wierden",0.298,0.037,0.943,0.29,26.4,4853,600,16278
"Wijchen",0.137,0.072,1.726,0.31,25.8,3592,1892,26258
"Wijdemeren",0.131,0.067,0.733,0.27,30.1,2043,1051,15601
"Wijk bij Duurstede",0.129,0.087,1.637,0.28,27.9,1983,1336,15379
"Winsum",0.177,0.126,0.445,0.31,24.2,1579,1128,8929
"Winterswijk",0.157,0.087,1.774,0.2,23.5,2835,1572,18054
"Woensdrecht",0.142,0.048,0.987,0.19,25.5,1790,599,12599
"Woerden",0.157,0.079,1.84,0.33,28.4,5176,2597,32948
"Wormerland",0.099,0.106,2.025,0.27,26.7,1034,1101,10416
"Woudenberg",0.159,0.04,1.328,0.31,27.2,1283,324,8092
"Woudrichem",0.21,0.041,0.226,0.25,26.8,2002,394,9541
"Zaanstad",0.074,0.104,2.73,0.25,24.3,6510,9214,88214
"Zaltbommel",0.13,0.057,0.789,0.26,26.5,2213,974,17073
"Zandvoort",0.076,0.067,2.684,0.26,26.3,815,713,10679
"Zederik",0.21,0.035,0.053,0.22,27.1,1937,320,9206
"Zeewolde",0.146,0.058,1.299,0.25,25.6,1922,760,13144
"Zeist",0.098,0.117,2.362,0.44,29.5,3753,4496,38406
"Zevenaar",0.156,0.072,1.751,0.25,24.2,3262,1511,20928
"Zoetermeer",0.1,0.084,3.289,0.3,26,7424,6209,74352
"Zoeterwoude",0.171,0.085,1.055,0.3,28.8,946,467,5521
"Zuidhorn",0.188,0.1,0.357,0.35,25.3,2322,1236,12340
"Zuidplas",0.123,0.057,1.835,0.27,28.5,3234,1503,26333
"Zundert",0.183,0.05,0.602,0.19,25.6,2364,643,12911
"Zutphen",0.094,0.135,2.293,0.33,23.6,2799,4005,29624
"Zwartewaterland",0.196,0.027,0.904,0.2,24.9,2742,375,14011
"Zwijndrecht",0.127,0.059,2.977,0.23,25.2,3418,1601,26913
"Zwolle",0.114,0.118,2.711,0.4,24.9,9060,9374,79309
